De,Ru
berühmt,знаменитый
bestellen,заказывать
ebenfalls,взаимно / также
empfehlen,советовать
fangen,ловить
froh,радостный
fühlen,чувствовать
irgendwo,где-то
jemand,кто-то
willen,ради
dass,что (союз)
dasselbe,то же самое
entweder,либо
falls,в случае если
gute Laune,хорошее настроение
indem,тем что / посредством того что
munter,бодрый
nachdem,после того как
ob,ли
obwohl,хотя
schauen,смотреть
schlau,хитрый
sobald,как только
sofern,если только
sondern,"а (в значении ""не что то - а что то другое"")"
soviel,столько
sowas,что-то вроде того
weil,потому что
der Ort,место
