De,Ru
der April,апрель
der August,август
der Dezember,декабрь
der Dienstag,вторник
der Donnerstag,четверг
der Februar,февраль
der Freitag,пятница
der Frühling,весна
der Herbst,осень
der Januar,январь
der Juli,июль
der Juni,июнь
der Mai,май
der Mittag,полдень
der Mittwoch,среда
der Moment,момент
der Monat,месяц
der Montag,понедельник
der Morgen,утро
der März,март
der Abend,вечер
der Nachmittag,вторая половина дня
der November,ноябрь
der Oktober,октябрь
der Samstag,суббота
der September,сентябрь
der Sommer,лето
der Sonntag,воскресенье
der Tag,день
der Vormittag,первая половина дня
der Winter,зима
der Wochentag,день недели
heute,сегодня
bleiben,оставаться
das Kaninchen,кролик
das Kleid,платье
der Tisch,стол
die Leute,люди
die Maus,мышь
die Uhr,часы
eben,именно / так и есть
billig,дешёвый
denken,думать
eigentlich,вообще-то / собственно говоря
einfach,просто
finden,находить / считать
frühstücken,завтракать
geben,давать
glauben,верить / считать
halt,просто / вот так
kennen,быть знакомым
kochen,готовить
laufen,"бегать, ходить"
leider,к сожалению
lesen,читать
liegen,лежать
los,уходить / отрываться / вперёд!
lustig,весёлый
nehmen,брать
nett,милый
niemand,никто
"ordentlich, fleißig", прилежный 
prima,отлично
pünktlich,вовремя
schade,жаль
schlafen,спать
sicher,наверняка / безопасно
stehen,стоять
stehlen,красть
teuer,дорогой
tragen,носить
treffen,встречать
tun,делать
vergessen,забывать
vielleicht,возможно / может быть
voraussichtlich,предположительно / вероятно
wachsen,расти
weinen,плакать
werden,становиться
wirklich,действительно
wissen,знать о чём-то
wohl,пожалуй / вероятно
wohnen,жить (проживать в городе)
ansehen,"смотреть, поглядеть"
bekommen,получать
brauchen,нуждаться
das Abendessen,ужин
das Auto,машина
das Bett,кровать
das Bier,пиво
das Brötchen,бутерброд
das Dokument,документ
das Eis,мороженое
das Ferien,каникулы {мн}
das Foto,фото
das Geld,деньги
das Geschenk,подарок
das Geschirr,посуда
das Gesetz,закон {м}
das Gespräch,разговор
das Getränk,напиток
das Hotel,гостиница {ж} / отель {м}
das Instrument,инструмент
das Klavier,пианино / фортепиано
das Konzert,концерт {м}
das Lied,песня
das Spielzeug,игрушка
das Tier,животное {с} / зверь {м}
das Weihnachten,Рождество
das Zimmer,комната
der Bescheid,уведомление / ответ
der Regenschirm,зонт
der Saft,сок
