De,Ru
das Glas, бокал
das Kino,кинотеатр
das Medikament,лекарство
das Museum,музей {м}
das Problem,проблема
das Restaurant,ресторан
das Salz,соль
das Silber, серебро
das Silvester, канун Нового года
das Tee,чай
der Baum,дерево
der Kuchen,пирог
der Schmerzmittel,обезболивающее
der Staat, государство
der Wetter,погода
die Adresse,адрес
die Entschuldigung,извинение
die Erde,Земля
die Immobilien,недвижимость
die Lebensmittel,продукты питания
die Luft,воздух
die Ordnung,порядок
die Schmerz,боль
die Stadt,город
