Question,Answer
~reverse,True
innerhalb,в пределах
per,по (через)
pro,на (в смысле: "в день")
infolge,вследствие
mittels,посредством
willen,ради
voran,вперёд
aufgrund,на основании
herum,вокруг
sondern,а (в значении "не что то - а что то другое")
entweder,либо
genug,достаточно
einer,один / некто
paar,несколько / пара
keiner,никто / никакой
einige,некоторые
beide,оба
anderer,другой
erster,первый
wieviele,сколько (во множественном числе)
soviel,столько
dasselbe,то же самое
sowas,что-то вроде того
dass,что (союз)
wenn,если / когда
weil,потому что
ob,ли
bevor,прежде чем
falls,в случае если
sobald,как только
obwohl,хотя
indem,тем что / посредством того что
nachdem,после того как
sofern,если только
